Committee(s) (modern name as of 2020),Subcommittee(s) (name at time of hearing),Title,Link,Hearing Date,Sortable Hearing Date,Chamber,Majority,Topic areas,Description,Event,ID,Witness 1,Witness 1 Federal Employee?,Witness 2,Witness 2 Federal Employee?,Witness 3,Witness 3 Federal Employee?,Witness 4,Witness 4 Federal Employee?,Witness 5,Witness 5 Federal Employee?,Witness 6,Witness 6 Federal Employee?,Witness 7,Witness 7 Federal Employee?,Witness 8,Witness 8 Federal Employee?,Witness 9,Witness 9 Federal Employee?,Witness 10,Witness 10 Federal Employee?,Witness 11,Witness 11 Federal Employee?,Witness 12,Witness 12 Federal Employee?,Witness 13,Witness 13 Federal Employee?,Witness 14,Witness 14 Federal Employee?,Witness 15,Witness 15 Federal Employee?,Witness 16,Witness 16 Federal Employee?
House Committee on Agriculture (US),Subcommittee on Livestock and Foreign Agriculture,Examination of Federal and State Response to Avian Influenza,https://www.govinfo.gov/app/details/CHRG-114hhrg95814/CHRG-114hhrg95814,"July 30, 2015",2015-07-30,House,R,Other,"The House Committee on Agriculture Subcommittee on Livestock and Foreign Agriculture held a hearing on the recent large-scale outbreak of highly pathogenic avian influenza in the United States, which had spread through 21 states. The Subcommittee heard from Department of Agriculture officials in the and state officials. Conversation centered on lessons learned from the response to the outbreak, the adequacy of the agricultural industry's biosecurity plans and measures, and the development of a vaccine to combat the virus.",,920,David Swayne,1,John Clifford,1,R. Douglas Meckes,0,Bill Hartmann,0,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Agriculture (US),,"Review of the issues related to the prevention, detection, and eradication of avian influenza",https://books.google.com/books/about/Review_of_the_issues_related_to_the_prev.html?id=WVkxVm9sn5IC,"November 16, 2005",2005-11-16,House,R,Surveillance / detection,"The House Committee on Agriculture held a hearing to review issues related to the prevention, detection, and eradication of avian influenza. Discussion addressed the importance of addressing the health of both humans and animals in order to safeguard against influenza outbreaks. The Administrator of the Animal and Plant Health Inspection Service spoke to that agency's efforts to prevent, detect, and respond to an outbreak of avian influenza in poultry.",2005 H5N1,873,Ron DeHaven,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Appropriations (US),"Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies","Agriculture, Rural Development, and Related Agencies Appropriations: Hearing on Avian Influenza",https://www.govinfo.gov/app/details/CHRG-109shrg59104203/CHRG-109shrg59104203,"March 30, 2006",2006-03-30,House,R,Surveillance / detection,"The House Committee on Appropriations Subcommittee on Agriculture, Rural Development, Food and Drug Administration, and Related Agencies held a hearing on the United States Department of Agriculture (USDA) 2006 budget request. Among other topics, discussion considered the H5N1 avian influenza outbreaks happening around the world and the need for funding to address them. Members discussed how to adjust the USDA's budget for the next year in order to preserve surveillance efforts in light of the President's request for budget cuts.",2005 H5N1,879,Bruce Gellin,1,Jesse Goodman,1,Mike Johanns,1,Ron DeHaven,1,W. Scott Steele,1,,,,,,,,,,,,,,,,,,,,,,
House Committee on Appropriations (US),"Subcommittee on Foreign Operations, Export Financing, and Related Programs",Avian Influenza--International Response,"https://books.google.com/books?id=VFuG_BGVL-cC&pg=PA1&lpg=PA1&dq=house+committee+on+appropriations+March+2,+2006+Foreign+Operations,+Export+Financing,+and+Related+Agencies+Appropriations:+Hearing+on+Avian+Influenza-International+Response&source=bl&ots=Q9zIWrpk1M&sig=ACfU3U1lE75Lx5lSVLr8todxBLQ0h5QT8Q&hl=en&sa=X&ved=2ahUKEwjk5ajD5ZvsAhWGQc0KHV4NCSQQ6AEwA3oECAEQAg#v=onepage&q=house%20committee%20on%20appropriations%20March%202%2C%202006%20Foreign%20Operations%2C%20Export%20Financing%2C%20and%20Related%20Agencies%20Appropriations%3A%20Hearing%20on%20Avian%20Influenza-International%20Response&f=false","March 2, 2006",2006-03-02,House,R,International aid / collaboration,"The House Committee on Appropriations Subcommittee on Foreign Operations, Export Financing, and Related Programs held a hearing on international responses to the global H5N1 avian influenza outbreaks. The Subcommittee explored whether U.S. and global efforts to understand, prevent, and control avian flu were successfully coordinated. Testimony addressed Fiscal Year 2006 expenditures and Fiscal Year 2007 budgetary requests.",2005 H5N1,877,Anthony Fauci,1,Julie Gerberding,1,Nancy Power,1,Kent Hill,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Appropriations (US),Subcommittee on Homeland Security,Department of Homeland Security Appropriations for 2009,https://www.govinfo.gov/app/details/CHRG-110hhrg43384/CHRG-110hhrg43384,"April 1, 2008",2008-04-01,House,D,Surveillance / detection,"The House Committee on Appropriations Subcommittee on Homeland Security held a hearing to evaluate the Department of Homeland Security's Fiscal Year 2009 budget request. Members particularly focused on the Office of health Affairs, and its request for its BioWatch biodetection program, its efforts to integrate federal biosurveillance efforts, and its role in supporting the Department of Health and Human Services' BIoShield medical countermeasure acquisition program.",,728,Jeffrey Runge,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Appropriations (US),Subcommittee on Homeland Security,Biosurveillance: Smart Investments for Early Warning,https://www.govinfo.gov/app/details/CHRG-111hhrg57185/CHRG-111hhrg57185,"February 25, 2010",2010-02-25,House,D,Surveillance / detection,"The House Committee on Appropriations Subcommittee on Homeland Security held a hearing on the Department of Homeland Security's (DHS) biosurveillance activities. The Subcommittee heard testimony from senior DHS officials and others. Conversation centered on BioWatch, an environmental detection program; the National Biosurveillance Integration Center; technological barriers and implementation challenges for both programs; and the value of early detection for a response to a biological event.",,902,Alexander Garza,1,Tara O'Toole,1,Daniel Sosin,1,Bernhard Goldstein,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies","Department of Labor, HHS, Education, and Related Agencies Appropriations: Hearing on Pandemic Preparedness and Influenza Vaccine Supply",https://books.google.com/books?id=qXwUymBjHMMC,"April 12, 2005",2005-04-12,House,R,Medical preparedness / emergency response,"The House Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held a hearing on pandemic preparedness. The hearing addressed issues such as public health system readiness and the available supply of influenza vaccines. Discussants considered the risk of avian influenza becoming a serious threat to public health and whether the U.S. public health system was prepared for such an eventuality.",2005 H5N1,866,Julie Gerberding,1,Bruce Gellin,1,Anthony Fauci,1,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies","Departments of Labor, Health and Human Services, Education and Related Agencies Appropriations for 2006","https://books.google.com/books?id=OiAWopRCx34C&pg=PA5&lpg=PA5&dq=House+Committee+on+Appropriations+Subcommittee+on+Labor,+Health+and+Human+Services,+Education,+and+Related+Agencies+%22November+2,+2005%22+Hearing+on+%22Pandemic+Influenza%22&source=bl&ots=QL4-XeyU_0&sig=ACfU3U1sTP6miuaGe2WtjBwOtZhWzs0MFA&hl=en&sa=X&ved=2ahUKEwij4_Wz65vsAhUNVc0KHYfsA2YQ6AEwCnoECAEQAg#v=onepage&q=House%20Committee%20on%20Appropriations%20Subcommittee%20on%20Labor%2C%20Health%20and%20Human%20Services%2C%20Education%2C%20and%20Related%20Agencies%20%22November%202%2C%202005%22%20Hearing%20on%20%22Pandemic%20Influenza%22&f=false","November 2, 2005",2005-11-02,House,R,Medical preparedness / emergency response,"The House Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held a hearing to examine the U.S. public health system's preparedness for a pandemic influenza. Discussion emphasized the emergence of H5N1 avian influenza, and addressed key elements of the Department of Health and Human Services' Pandemic Influenza Plan. Discussants highlighted the importance of strong surveillance systems as well as the creation of a national vaccine stockpile.",2005 H5N1,868,Michael Leavitt,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",Appropriations: Hearing on Ebola Budget,https://www.hsdl.org/?abstract&did=791531,"April 15, 2015",2015-04-15,House,R,Medical preparedness / emergency response,"The House Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held an oversight hearing to examine the use of emergency funds requested by the Obama Administration to combat the spread of the West Africa Ebola epidemic. This compilation of statements from the hearing included statements from the Subcommittee Chairman and from the witnesses, who were senior officials with the Department of Health and Human Services. Topics discussed included the development of medical countermeasures to combat Ebola through the Public Health Emergency Medical Countermeasures Enterprise, the strengthening of medical capacity in the United States through the Hospital Preparedness Program, and the ongoing role of the United States in public health emergency response abroad and at home.",2014-2016 Ebola (West Africa),917,Nicole Lurie,1,Thomas Frieden,1,Anthony Fauci,1,Robin Robinson,1,,,,,,,,,,,,,,,,,,,,,,,,
House Committee on Appropriations (US),"Subcommittee on Labor, Health and Human Services, Education, and Related Agencies",Health and Human Services Biodefense Activities,https://www.hsdl.org/?view&did=822704,"April 18, 2018",2018-04-18,House,R,Medical preparedness / emergency response,"The House Committee on Appropriations Subcommittee on Labor, Health and Human Services, Education, and Related Agencies held an oversight hearing to examine Department of Health and Human Services (HHS) activities to improve biodefense and public health emergency preparedness. The Subcommittee heard testimony from senior HHS officials. Conversation centered on how HHS was spending current funds, whether its funding requests were adequate, how HHS could create sustainable programs to ensure preparedness, and how HHS was supporting medical countermeasure development, acquisition, and storage in the Strategic National Stockpile.",,932,Robert Kadlec,1,Anthony Fauci,1,Stephen Redd,1,,,,,,,,,,,,,,,,,,,,,,,,,,
